"Delete File","Delete File"
"Download","Download"
"Delete Image","Delete Image"
"View Full Size","View Full Size"
"Save Location","Save Location"
"Save and Continue Edit","Save and Continue Edit"
"Delete Location","Delete Location"
"Edit Location '%1'","Edit Location '%1'"
"New Location","New Location"
"General Information","General Information"
"Status","Status"
"Title","Title"
"Country","Country"
"State","State"
"City","City"
"Street","Street"
"Zip","Zip"
"Phone","Phone"
"Store View","Store View"
"Description","Description"
"Sort Order","Sort Order"
"Location Image","Location Image"
"Google Map Marker","Google Map Marker"
"Google Maps Settings","Google Maps Settings"
"Zoom","Zoom"
"Latitude","Latitude"
"Longitude","Longitude"
"Find Store on Map","Find Store on Map"
"Find store location according to entered country, city and street address (General Information)","Find store location according to entered country, city and street address (General Information)"
"Location Information","Location Information"
"Locations","Locations"
"Settings","Settings"
"Readme","Readme"
"Get Support","Get Support"
"Home","Home"
"Go to Home Page","Go to Home Page"
"Everywhere","Everywhere"
"Search Radius","Search Radius"
"km","km"
"mi","mi"
"Search Measurement","Search Measurement"
"Region","Region"
"You deleted the location.","You deleted the location."
"An error occurred while editing the location.","An error occurred while editing the location."
"Manage Locations","Manage Locations"
"Please correct the data sent.","Please correct the data sent."
"A total of %1 location(s) were deleted.","A total of %1 location(s) were deleted."
"A total of %1 location(s) were disabled.","A total of %1 location(s) were disabled."
"A total of %1 location(s) were enabled.","A total of %1 location(s) were enabled."
"You saved the location.","You saved the location."
"An error occurred while saving the location.","An error occurred while saving the location."
"Page not found.","Page not found."
"Please select a static block.","Please select a static block."
"kilometers","kilometers"
"miles","miles"
"Enabled","Enabled"
"Disabled","Disabled"
"Enabled (First Item)","Enabled (First Item)"
"Enabled (Last Item)","Enabled (Last Item)"
"Edit","Edit"
"Delete","Delete"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
"All Store Views","All Store Views"
"Please define city and street address fields to find a store on the map.","Please define city and street address fields to find a store on the map."
"No stores found. Please try another search.","No stores found. Please try another search."
"Search by Distance","Search by Distance"
"Current Location","Current Location"
"Find My Location","Find My Location"
"Search Radius Measurement","Search Radius Measurement"
"Search","Search"
"Search by Address","Search by Address"
"Region / State","Region / State"
"Aheadworks Extensions","Aheadworks Extensions"
"Store Locator","Store Locator"
"General","General"
"Enable Store Locator Page","Enable Store Locator Page"
"URL Key","URL Key"
"Google Maps API Key","Google Maps API Key"
"For 25K+ map loads per day API key is required. <br /><a href=""https://developers.google.com/maps/documentation/javascript/tutorial#api_key"" target=""_blank"">Get Google Maps API Key</a>","For 25K+ map loads per day API key is required. <br /><a href=""https://developers.google.com/maps/documentation/javascript/tutorial#api_key"" target=""_blank"">Get Google Maps API Key</a>"
"Extension's URL to Top Menu","Extension's URL to Top Menu"
"Header CMS Block","Header CMS Block"
"Comma-separated.","Comma-separated."
"Default Search Radius","Default Search Radius"
"Default Search Measurement","Default Search Measurement"
"SEO","SEO"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Add New Location","Add New Location"
"Delete locations","Delete locations"
"Are you sure to delete selected location?","Are you sure to delete selected location?"
"Enable","Enable"
"Enable locations","Enable locations"
"Are you sure to enable selected location?","Are you sure to enable selected location?"
"Disable","Disable"
"Disable locations","Disable locations"
"Are you sure to disable selected location?","Are you sure to disable selected location?"
"ID","ID"
"There are no store locations matching the selection","There are no store locations matching the selection"
"Store Locations","Store Locations"
"Store Locator by Aheadworks","Store Locator by Aheadworks"
"Display 'Find My Location' Button","Display 'Find My Location' Button"
"To use this feature, you should consider switching your website to a secure origin, such as HTTPS.","To use this feature, you should consider switching your website to a secure origin, such as HTTPS."
